t_ms,run_idx,sheet_idx,js_heap_used_mb,js_heap_total_mb,js_heap_limit_mb,wasm_heap_cv_mb,wasm_heap_yolo_mb,event_loop_lag_ms,cpu_load_proxy,platform,timestamp,session_label
0.1,1,0,9.54,9.54,1077.65,17.06,0.00,0.00,0.0000,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
112.4,1,0,9.54,9.54,1077.65,17.06,0.00,12.29,0.1229,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
215.6,1,0,9.54,9.54,1077.65,0.00,0.00,3.12,0.0312,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
396.6,1,0,9.54,9.54,1077.65,0.00,0.00,81.06,0.8106,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
577.6,1,0,9.54,9.54,1077.65,0.00,0.00,80.96,0.8096,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
760.2,1,0,9.54,9.54,1077.65,0.00,0.00,82.63,0.8263,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
944.0,1,0,9.54,9.54,1077.65,0.00,0.00,83.75,0.8375,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
1125.2,1,0,9.54,9.54,1077.65,0.00,0.00,81.23,0.8123,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
1306.9,1,0,9.54,9.54,1077.65,0.00,0.00,81.70,0.8170,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
1488.7,1,0,9.54,9.54,1077.65,0.00,0.00,81.76,0.8176,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
1669.7,1,1,9.54,9.54,1077.65,122.38,0.00,81.07,0.8107,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
1770.9,1,1,9.54,9.54,1077.65,0.00,0.00,1.21,0.0121,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
1953.2,1,1,9.54,9.54,1077.65,0.00,0.00,82.24,0.8224,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
2134.3,1,1,9.54,9.54,1077.65,0.00,0.00,81.09,0.8109,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
2316.1,1,2,9.54,9.54,1077.65,122.38,0.00,81.85,0.8185,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
2482.8,1,2,9.54,9.54,1077.65,122.38,0.00,66.64,0.6664,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
2584.2,1,2,9.54,9.54,1077.65,0.00,0.00,1.48,0.0148,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
2765.5,1,2,9.54,9.54,1077.65,0.00,0.00,81.26,0.8126,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
2947.9,1,2,9.54,9.54,1077.65,0.00,0.00,82.41,0.8241,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
3129.3,1,2,9.54,9.54,1077.65,0.00,0.00,81.43,0.8143,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
3310.4,1,3,9.54,9.54,1077.65,122.38,0.00,81.07,0.8107,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
3439.4,1,3,9.54,9.54,1077.65,0.00,0.00,28.98,0.2898,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
3620.4,1,3,9.54,9.54,1077.65,0.00,0.00,81.04,0.8104,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
3801.4,1,3,9.54,9.54,1077.65,0.00,0.00,80.95,0.8095,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
3983.3,1,3,9.54,9.54,1077.65,0.00,0.00,81.97,0.8197,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
4164.6,1,3,9.54,9.54,1077.65,0.00,0.00,81.23,0.8123,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
4345.6,1,4,9.54,9.54,1077.65,122.38,0.00,81.05,0.8105,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
4447.7,1,4,9.54,9.54,1077.65,0.00,0.00,2.13,0.0213,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
4629.1,1,4,9.54,9.54,1077.65,0.00,0.00,81.34,0.8134,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
4810.3,1,4,9.54,9.54,1077.65,0.00,0.00,81.27,0.8127,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
4991.5,1,5,9.54,9.54,1077.65,122.38,0.00,81.17,0.8117,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
5164.0,1,5,9.54,9.54,1077.65,122.38,0.00,72.48,0.7248,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
5265.3,1,5,9.54,9.54,1077.65,0.00,0.00,1.31,0.0131,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
5447.4,1,5,9.54,9.54,1077.65,0.00,0.00,82.06,0.8206,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
5631.0,1,5,9.54,9.54,1077.65,0.00,0.00,83.59,0.8359,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
5813.2,1,6,9.54,9.54,1077.65,122.38,0.00,82.24,0.8224,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
5987.4,1,6,9.54,9.54,1077.65,122.38,0.00,74.22,0.7422,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
6089.2,1,6,9.54,9.54,1077.65,0.00,0.00,1.79,0.0179,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
6271.7,1,6,9.54,9.54,1077.65,0.00,0.00,82.52,0.8252,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
6454.9,1,6,9.54,9.54,1077.65,0.00,0.00,83.16,0.8316,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
6637.1,1,6,9.54,9.54,1077.65,0.00,0.00,82.24,0.8224,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
6819.7,1,7,9.54,9.54,1077.65,122.38,0.00,82.53,0.8253,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
6921.7,1,7,9.54,9.54,1077.65,0.00,0.00,2.08,0.0208,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
7103.8,1,7,9.54,9.54,1077.65,0.00,0.00,82.09,0.8209,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
7286.1,1,7,9.54,9.54,1077.65,0.00,0.00,82.28,0.8228,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
7468.4,1,8,9.54,9.54,1077.65,122.38,0.00,82.25,0.8225,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
7657.6,1,8,9.54,9.54,1077.65,122.38,0.00,89.26,0.8926,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
7759.5,1,8,9.54,9.54,1077.65,0.00,0.00,1.92,0.0192,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
7943.9,1,8,9.54,9.54,1077.65,0.00,0.00,84.33,0.8433,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
8126.7,1,8,9.54,9.54,1077.65,0.00,0.00,82.87,0.8287,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
8309.8,1,9,9.54,9.54,1077.65,122.38,0.00,83.08,0.8308,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
8496.0,1,9,9.54,9.54,1077.65,122.38,0.00,86.17,0.8617,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
8598.2,1,9,9.54,9.54,1077.65,0.00,0.00,2.17,0.0217,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
8780.7,1,9,9.54,9.54,1077.65,0.00,0.00,82.52,0.8252,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
8964.4,1,9,9.54,9.54,1077.65,0.00,0.00,83.67,0.8367,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
9146.9,1,9,9.54,9.54,1077.65,0.00,0.00,82.56,0.8256,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
9328.5,1,10,9.54,9.54,1077.65,122.38,0.00,81.57,0.8157,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
9429.9,1,10,9.54,9.54,1077.65,0.00,0.00,1.39,0.0139,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
9611.4,1,10,9.54,9.54,1077.65,0.00,0.00,81.49,0.8149,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
9793.3,1,10,9.54,9.54,1077.65,0.00,0.00,81.94,0.8194,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
9977.1,1,10,9.54,9.54,1077.65,0.00,0.00,83.85,0.8385,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
10159.0,1,11,9.54,9.54,1077.65,122.38,0.00,81.89,0.8189,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
10261.5,1,11,9.54,9.54,1077.65,0.00,0.00,2.47,0.0247,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
10442.6,1,11,9.54,9.54,1077.65,0.00,0.00,81.13,0.8113,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
10623.8,1,11,9.54,9.54,1077.65,0.00,0.00,81.16,0.8116,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
10805.9,1,11,9.54,9.54,1077.65,0.00,0.00,82.13,0.8213,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
10989.8,1,11,9.54,9.54,1077.65,0.00,0.00,83.90,0.8390,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
11172.1,1,12,9.54,9.54,1077.65,122.38,0.00,82.28,0.8228,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
11296.4,1,12,9.54,9.54,1077.65,122.38,0.00,24.32,0.2432,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
11397.2,1,12,9.54,9.54,1077.65,0.00,0.00,0.81,0.0081,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
11579.0,1,12,9.54,9.54,1077.65,0.00,0.00,81.78,0.8178,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
11760.8,1,12,9.54,9.54,1077.65,0.00,0.00,81.83,0.8183,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
11943.8,1,12,9.54,9.54,1077.65,0.00,0.00,82.98,0.8298,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
12125.5,1,13,9.54,9.54,1077.65,122.38,0.00,81.69,0.8169,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
12226.8,1,13,9.54,9.54,1077.65,0.00,0.00,1.28,0.0128,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
12409.2,1,13,9.54,9.54,1077.65,0.00,0.00,82.41,0.8241,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
12592.9,1,13,9.54,9.54,1077.65,0.00,0.00,83.68,0.8368,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
12775.9,1,13,9.54,9.54,1077.65,0.00,0.00,83.03,0.8303,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
12957.6,1,14,9.54,9.54,1077.65,122.38,0.00,81.66,0.8166,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
13059.3,1,14,9.54,9.54,1077.65,0.00,0.00,1.72,0.0172,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
13240.9,1,14,9.54,9.54,1077.65,0.00,0.00,81.60,0.8160,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
13422.8,1,14,9.54,9.54,1077.65,0.00,0.00,81.95,0.8195,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
13604.8,1,14,9.54,9.54,1077.65,0.00,0.00,81.98,0.8198,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
13786.1,1,15,9.54,9.54,1077.65,122.38,0.00,81.33,0.8133,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
13888.3,1,15,9.54,9.54,1077.65,0.00,0.00,2.13,0.0213,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
14069.6,1,15,9.54,9.54,1077.65,0.00,0.00,81.37,0.8137,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
14251.2,1,15,9.54,9.54,1077.65,0.00,0.00,81.58,0.8158,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
14432.5,1,15,9.54,9.54,1077.65,0.00,0.00,81.31,0.8131,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
14614.2,1,16,9.54,9.54,1077.65,122.38,0.00,81.63,0.8163,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
14715.1,1,16,9.54,9.54,1077.65,0.00,0.00,0.89,0.0089,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
14896.4,1,16,9.54,9.54,1077.65,0.00,0.00,81.31,0.8131,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
15078.5,1,16,9.54,9.54,1077.65,0.00,0.00,82.09,0.8209,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
15260.1,1,17,9.54,9.54,1077.65,122.38,0.00,81.63,0.8163,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
15384.4,1,17,9.54,9.54,1077.65,122.38,0.00,24.27,0.2427,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
15487.6,1,17,9.54,9.54,1077.65,0.00,0.00,3.23,0.0323,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
15668.7,1,17,9.54,9.54,1077.65,0.00,0.00,81.07,0.8107,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",2026-05-26T10:41:39.398Z,"batch-detect cv mobile n=179"
